"Time [ms]","Moving1.Torque [NewtonMeter]"
73.2900000000043,120.366187101809
73.3000000000043,120.371463588503
73.3100000000043,120.391934060792
73.3200000000043,120.366695451357
73.3300000000043,120.334751954588
73.3400000000043,120.330833443547
73.3500000000043,120.354857311107
73.3600000000043,120.394804006662
73.3700000000043,120.436260546114
73.3800000000042,120.473623233755
73.3900000000042,120.490159006545
73.4000000000042,120.485131522893
73.4100000000042,120.466906771644
73.4200000000042,120.708772109224
73.4300000000042,121.024428755862
73.4400000000042,121.309300160131
73.4500000000042,121.572623763868
73.4600000000042,121.836427311825
73.4700000000042,122.086641354917
73.4800000000042,122.352714827917
73.4900000000042,122.638117544668
73.5000000000042,122.931896632719
73.5100000000042,123.226351000385
73.5200000000042,123.505948068748
73.5300000000042,123.778028768001
73.5400000000042,124.040959473177
73.5500000000042,124.284679765459
73.5600000000042,124.494975007348
73.5700000000042,124.633360150208
73.5800000000042,124.710878797898
73.5900000000042,124.71261878014
73.6000000000042,124.626914566123
73.6100000000042,124.454957828365
73.6200000000042,124.53308062697
73.6300000000042,124.553683889019
73.6400000000041,124.474908655422
73.6500000000041,124.310704727505
73.6600000000041,124.095677969765
73.6700000000041,123.904878982731
73.6800000000041,123.735642830906
73.6900000000041,123.603188931692
73.7000000000041,123.504030072743
73.7100000000041,123.424975330967
73.7200000000041,123.327394478688
73.7300000000041,123.26180178727
73.7400000000041,123.234412261619
73.7500000000041,123.234194750012
73.7600000000041,123.237456522955
73.7700000000041,123.233411644427
73.7800000000041,123.244601673325
73.7900000000041,123.251546508736
73.8000000000041,123.239903547965
73.8100000000041,123.212285877813
73.8200000000041,123.339106842997
73.8300000000041,123.416304758108
73.8400000000041,123.44867826909
73.8500000000041,123.455541508987
73.8600000000041,123.466651439837
73.8700000000041,123.496774068882
73.8800000000041,123.519013207735
73.8900000000041,123.553024701311
73.900000000004,123.598719129265
73.910000000004,123.629912571678
73.920000000004,123.565428154987
73.930000000004,123.511336445536
73.940000000004,123.467531032597
73.950000000004,123.423595123504
73.960000000004,123.376250601348
73.970000000004,123.377574913742
73.980000000004,123.362005894961
73.990000000004,123.306610173376
74.000000000004,123.200989822354
74.010000000004,123.097649354709
74.020000000004,123.150362031075
74.030000000004,123.175436464642
74.040000000004,123.181634622282
74.050000000004,123.180078419008
74.060000000004,123.177439507076
74.070000000004,123.175212475299
74.080000000004,123.185837222122
74.090000000004,123.21079874669
74.100000000004,123.245319607021
74.110000000004,123.267808011579
74.120000000004,123.258558318662
74.130000000004,123.263801899876
74.140000000004,123.288943216953
74.1500000000039,123.332700892788
