"Time [ms]","InducedVoltage(PhaseA) [V]"
58.5800000000073,-44.0851810663723
58.5900000000073,-43.137218022582
58.6000000000073,-42.3400168309773
58.6100000000073,-41.5606562494564
58.6200000000073,-40.7572309917281
58.6300000000073,-39.9093636940739
58.6400000000073,-38.9769602424872
58.6500000000073,-38.0966134599259
58.6600000000073,-37.3090989313041
58.6700000000073,-36.6278293148892
58.6800000000073,-36.0312138759145
58.6900000000073,-35.4381365356149
58.7000000000073,-34.4420613292429
58.7100000000073,-33.3392083712525
58.7200000000073,-32.2654991093518
58.7300000000073,-31.3095913558714
58.7400000000073,-31.721109205668
58.7500000000073,-30.6108250657799
58.7600000000073,-29.5023556489471
58.7700000000073,-28.5006027388235
58.7800000000073,-27.7129776029672
58.7900000000073,-27.3257856819087
58.8000000000073,-26.7518864576433
58.8100000000073,-26.141763819193
58.8200000000073,-25.4742013327425
58.8300000000073,-24.7649069505307
58.8400000000073,-23.9243042036485
58.8500000000073,-23.2696366895158
58.8600000000074,-22.6585592542239
58.8700000000074,-22.0810927207771
58.8800000000074,-21.4835569716354
58.8900000000074,-20.6937725603429
58.9000000000074,-19.8770791336678
58.9100000000074,-18.9981551969642
58.9200000000074,-18.1310638346199
58.9300000000074,-17.5180075103754
58.9400000000074,-17.9362065375055
58.9500000000074,-17.0205076481855
58.9600000000074,-16.0756788881
58.9700000000074,-15.2741258448497
58.9800000000074,-14.6296734747531
58.9900000000074,-14.0988261638497
59.0000000000074,-13.763284948437
59.0100000000074,-13.4010208198587
59.0200000000074,-12.9258361818763
59.0300000000074,-12.2781486321832
59.0400000000074,-11.3974309463194
59.0500000000074,-10.8142481584306
59.0600000000074,-10.237194412116
59.0700000000074,-9.64870394852269
59.0800000000074,-8.96779321837293
59.0900000000074,-8.24354695890261
59.1000000000074,-7.62050896963573
59.1100000000074,-7.02883072675742
59.1200000000074,-6.43686671829569
59.1300000000074,-5.62791850086675
59.1400000000074,-4.54373055224777
59.1500000000074,-3.95179499924625
59.1600000000074,-3.38711719307105
59.1700000000074,-2.81777070107458
59.1800000000074,-2.1646986489321
59.1900000000075,-1.3296470241897
59.2000000000075,-0.515134253187277
59.2100000000075,0.212138834604358
59.2200000000075,0.904684389835264
59.2300000000075,1.58514135392696
59.2400000000075,2.30538519559453
59.2500000000075,3.0503752603106
59.2600000000075,3.81605609116598
59.2700000000075,4.59101624051272
59.2800000000075,5.45674874758983
59.2900000000075,6.32700733748659
59.3000000000075,7.0508574563255
59.3100000000075,7.78201903843256
59.3200000000075,8.54418291725834
59.3300000000075,9.18016326812432
59.3400000000075,9.91812488025934
59.3500000000075,10.895885047546
59.3600000000075,11.8730690698843
59.3700000000075,12.842037444516
59.3800000000075,13.8478577717593
59.3900000000075,14.8432598972736
59.4000000000075,15.7284041706673
59.4100000000075,16.5831642464809
59.4200000000075,17.4723791659004
59.4300000000075,18.4871991643687
59.4400000000075,19.5904108929001
59.4500000000075,20.5677078634225
59.4600000000075,21.4821202338844
59.4700000000075,22.3477880322454
59.4800000000075,23.1913119529914
59.4900000000075,24.2718504324058
59.5000000000075,25.5007950425323
59.5100000000076,26.696886831501
59.5200000000076,27.789075675555
59.5300000000076,28.182205131666
59.5400000000076,28.9768869870033
59.5500000000076,30.1746608886988
59.5600000000076,31.3416217927187
59.5700000000076,32.4109051764221
59.5800000000076,33.1351243987421
59.5900000000076,34.0440170226275
59.6000000000076,35.0985835112449
59.6100000000076,36.1811694148562
59.6200000000076,37.3436422077766
59.6300000000076,38.5375540291943
59.6400000000076,39.7622759567562
59.6500000000076,41.0125240067949
59.6600000000076,42.2610308415727
59.6700000000076,43.506337032545
59.6800000000076,44.9339988717712
59.6900000000076,46.3621099228595
59.7000000000076,47.6940146091787
59.7100000000076,48.8792376949709
59.7200000000076,49.9293467342288
59.7300000000076,51.2047660020942
59.7400000000076,52.4003085850044
59.7500000000076,53.5076701059567
59.7600000000076,54.6081688630795
59.7700000000076,55.735983285099
59.7800000000076,56.8369321584938
59.7900000000076,58.1759702732942
59.8000000000076,59.5287541384548
59.8100000000076,60.8069695905267
59.8200000000076,62.0493422684332
59.8300000000076,63.205732542998
59.8400000000077,64.4200902523762
59.8500000000077,65.6655850970855
59.8600000000077,66.9422965494826
59.8700000000077,68.2791063515042
59.8800000000077,69.5044743563078
59.8900000000077,70.7206630809198
59.9000000000077,71.8878130715916
59.9100000000077,72.9927020706067
59.9200000000077,74.0609046137153
59.9300000000077,75.8876859354607
59.9400000000077,77.0433204901166
59.9500000000077,78.1304933796967
59.9600000000077,79.2798419719187
59.9700000000077,80.531774813089
59.9800000000077,81.6936709719246
59.9900000000077,83.0500227782249
60.0000000000077,84.4183640972079
60.0100000000077,85.8043810928105
60.0200000000077,87.1701847390466
60.0300000000077,88.5370493593884
60.0400000000077,89.8409579689202
60.0500000000077,91.1495502377929
60.0600000000077,92.4631522519398
60.0700000000077,93.7785971754673
60.0800000000077,95.0881075436505
60.0900000000077,96.3566231693941
60.1000000000077,97.6106175074098
60.1100000000077,99.0429944019044
60.1200000000077,100.535941301863
60.1300000000077,102.120679992293
60.1400000000077,103.478458155581
60.1500000000077,104.851351020854
60.1600000000077,106.163816539118
60.1700000000078,107.399896020188
60.1800000000078,108.622038014311
60.1900000000078,109.729239499642
60.2000000000078,110.838749425154
60.2100000000078,111.944980274886
60.2200000000078,113.02389874952
60.2300000000078,114.153876753947
60.2400000000078,115.220391936896
60.2500000000078,116.281873878121
60.2600000000078,117.293149133765
60.2700000000078,118.263070517222
60.2800000000078,119.364126004337
60.2900000000078,120.652746975197
60.3000000000078,121.93173945079
60.3100000000078,123.099912963609
60.3200000000078,123.99833713834
60.3300000000078,124.691475720934
60.3400000000078,125.88964421863
60.3500000000078,127.110665686536
60.3600000000078,128.28335521326
60.3700000000078,129.248395875742
60.3800000000078,130.012874459975
60.3900000000078,131.121904549875
60.4000000000078,132.352685633555
60.4100000000078,133.612660755453
60.4200000000078,134.784197864882
60.4300000000078,135.856531004014
60.4400000000078,137.041856081518
60.4500000000078,138.215019799062
60.4600000000078,139.344652529927
60.4700000000078,140.390968973772
60.4800000000078,141.600694710528
60.4900000000079,143.035413780426
60.5000000000079,144.480262003763
60.5100000000079,145.802780924473
60.5200000000079,146.514449817697
60.5300000000079,147.160019527179
60.5400000000079,148.597287357907
60.5500000000079,150.019900151904
60.5600000000079,151.289134886218
60.5700000000079,152.229285154817
60.5800000000079,153.011054972912
60.5900000000079,153.994125468157
60.6000000000079,155.085770233454
60.6100000000079,156.265507421291
60.6200000000079,157.599676475778
60.6300000000079,158.827864678551
60.6400000000079,159.980867246368
60.6500000000079,161.165739904967
60.6600000000079,162.376594380717
60.6700000000079,163.588838075243
60.6800000000079,164.82694261819
60.6900000000079,166.002638690144
60.7000000000079,167.075759999438
60.7100000000079,168.008680943577
60.7200000000079,169.005328837876
60.7300000000079,169.978086123826
60.7400000000079,170.858774073426
60.7500000000079,171.775239605604
60.7600000000079,172.724245854705
60.7700000000079,173.536897551399
60.7800000000079,174.44410692912
60.7900000000079,175.5608169417
60.8000000000079,176.673326283552
60.8100000000079,177.694035925541
60.820000000008,178.661405859157
60.830000000008,179.58446160668
60.840000000008,180.502484768874
60.850000000008,181.413681945491
60.860000000008,182.31146707644
60.870000000008,183.133260268459
60.880000000008,183.980175619472
60.890000000008,184.907047306158
60.900000000008,185.870356314539
60.910000000008,186.811494003382
60.920000000008,187.41387065689
60.930000000008,188.117616796563
60.940000000008,188.964736953855
60.950000000008,189.836233032072
60.960000000008,190.680461660209
60.970000000008,191.381922605882
60.980000000008,191.97778436563
60.990000000008,192.60704816987
61.000000000008,193.290556727299
61.010000000008,193.973987059642
61.020000000008,194.657239263359
61.030000000008,195.174070093684
61.040000000008,195.705654048785
61.050000000008,196.3275341715
61.060000000008,197.037219499742
61.070000000008,197.884853878118
61.080000000008,198.446133350869
61.090000000008,198.779775264613
61.100000000008,198.948077540127
61.110000000008,199.051698360332
61.120000000008,200.224767902786
61.130000000008,200.503390537053
61.140000000008,200.585117612632
61.1500000000081,200.662183713983
61.1600000000081,200.849569750113
61.1700000000081,201.382930916245
61.1800000000081,201.877350730359
61.1900000000081,202.330225685571
61.2000000000081,202.731169278461
61.2100000000081,203.074381832895
61.2200000000081,203.569193284402
61.2300000000081,203.829313500718
61.2400000000081,204.08139776233
61.2500000000081,204.339743367729
61.2600000000081,204.59735591063
61.2700000000081,204.719774610294
61.2800000000081,204.752681118443
61.2900000000081,204.710546830122
61.3000000000081,204.612042290609
61.3100000000081,204.545954590955
61.3200000000081,205.075376847649
61.3300000000081,204.893068516728
61.3400000000081,204.719300288587
61.3500000000081,204.584388689651
61.3600000000081,204.498612148322
61.3700000000081,204.435136912665
61.3800000000081,204.423722823465
61.3900000000081,204.372877736387
61.4000000000081,204.292470227776
61.4100000000081,204.206005733861
61.4200000000081,204.262954603128
61.4300000000081,204.144359611839
61.4400000000081,204.017110186273
61.4500000000081,203.88950583233
61.4600000000081,203.790518476373
61.4700000000082,203.778423394894
61.4800000000082,203.491175741547
61.4900000000082,203.157828731965
61.5000000000082,202.86629816184
61.5100000000082,202.65968136132
61.5200000000082,202.435297309331
61.5300000000082,202.085544939179
61.5400000000082,201.732120188501
61.5500000000082,201.442779794023
61.5600000000082,201.328201178164
61.5700000000082,201.385583655543
61.5800000000082,201.145605675018
61.5900000000082,200.792631149114
61.6000000000082,200.354884120317
61.6100000000082,199.997715111879
61.6200000000082,199.71549416478
61.6300000000082,199.286760835994
61.6400000000082,198.796810095274
61.6500000000082,198.309627630421
61.6600000000082,197.751916122959
61.6700000000082,197.208418800967
61.6800000000082,196.693225117859
61.6900000000082,196.199768963978
61.7000000000082,195.720281298058
61.7100000000082,195.106383999236
61.7200000000082,194.477020222881
61.7300000000082,194.105599291036
61.7400000000082,193.654105978095
61.7500000000082,193.151152764719
61.7600000000082,192.548688249623
61.7700000000082,191.736706759831
61.7800000000082,190.945421248532
