"Time [ms]","InducedVoltage(M1PhA) [V]","InducedVoltage(M1PhB) [V]","InducedVoltage(M1PhC) [V]"
26.7000000000003,-86.4606763636092,93.5561023456449,-7.83081726041024
26.7500000000003,-88.0665623385651,92.1066392664796,-4.58429681154726
26.8000000000003,-89.6183194756556,90.6192521502461,-1.14500159588971
26.8500000000003,-91.1717482783997,89.1023059210769,2.25661480329931
26.9000000000003,-92.6112097652063,87.580191800935,5.68787939411675
26.9500000000003,-94.0054304583177,85.9211369745275,9.02965358210272
27.0000000000003,-95.212450135243,84.0561413200447,12.406294515096
27.0500000000003,-96.2783083253975,82.0598594879007,15.7440731717551
27.1000000000003,-97.3402037450939,79.9253523029264,19.0927875639663
27.1500000000003,-98.3612636575711,77.7596890549598,22.3568070976493
27.2000000000003,-99.2343842105772,75.4917718197465,25.5399364825948
27.2500000000003,-100.08448078283,73.1804766105495,28.7123123962008
27.3000000000003,-101.045090790472,70.8218637887589,31.8991049342016
27.3500000000003,-101.747609591137,68.3686835376324,34.9474231572461
27.4000000000003,-102.325607556962,65.8317169428046,37.9943231791918
27.4500000000003,-102.853218234521,63.2593181823499,41.0481367494103
27.5000000000003,-103.33238375058,60.641609794449,44.0231138551839
27.5500000000003,-103.66120254433,57.9669807424887,46.908278145551
27.6000000000003,-103.735065326788,55.265060002499,49.6886781202116
27.6500000000003,-103.682772608343,52.5035141364461,52.480472047316
27.7000000000003,-103.66260893135,49.6538145540276,55.2712487387652
27.7500000000003,-103.540221044185,46.8597047765201,57.9651310359913
27.8000000000003,-103.291719910863,43.9847805663207,60.673726968552
27.8500000000003,-102.924978161185,41.032387755498,63.3219333408108
27.9000000000003,-102.440953214768,37.993198526407,65.907154910344
27.9500000000003,-101.786358933491,34.9447070190062,68.3987846297679
28.0000000000003,-100.994215834201,31.8676578921179,70.7883192869924
28.0500000000003,-99.9963742175056,28.7353064316354,73.142928227084
28.1000000000003,-99.1568016634037,25.5051601433925,75.5292627012183
28.1500000000003,-98.3874097259679,22.3344604827874,77.8464427291911
28.2000000000003,-97.4240428199473,19.1174483211676,80.016002629589
28.2500000000003,-96.3685194731237,15.7752113977855,82.0747992258852
28.3000000000003,-95.2184860964878,12.3924766835981,84.0400992458956
28.3500000000003,-93.925503639703,9.08241780936347,85.854259971401
28.4000000000003,-92.5591641080073,5.69955499128749,87.5780912270582
28.4500000000003,-91.140149300109,2.26075439697826,89.1671552713097
28.5000000000003,-89.671600989687,-1.15410913214709,90.7247764338612
28.5500000000003,-88.1548804494722,-4.5204823051459,92.1949689995671
28.6000000000003,-86.530259939413,-7.85791718223905,93.5621135503753
28.6500000000003,-84.6725439679879,-11.2891265396126,94.7497027054819
28.7000000000003,-82.6786594189038,-14.6565546113187,95.9148635105667
28.7500000000003,-80.6412387470023,-17.9642297103716,97.0352942461653
28.8000000000003,-78.5186341880476,-21.2185061088233,98.1169240308434
28.8500000000003,-76.3108734246643,-24.4769030491315,99.0297943963703
28.9000000000003,-73.9918130456499,-27.6853268681448,99.8103680893368
28.9500000000003,-71.6340742318372,-30.8079824517443,100.694589712377
29.0000000000003,-69.1464864288357,-33.8827224974159,101.484142365717
