"Time [ms]","InducedVoltage(PhaseA) [V] - b='0.7'","InducedVoltage(PhaseA) [V] - b='0.72'","InducedVoltage(PhaseA) [V] - b='0.74'","InducedVoltage(PhaseA) [V] - b='0.76'","InducedVoltage(PhaseA) [V] - b='0.78'","InducedVoltage(PhaseA) [V] - b='0.8'","InducedVoltage(PhaseA) [V] - b='0.82'","InducedVoltage(PhaseA) [V] - b='0.84'","InducedVoltage(PhaseA) [V] - b='0.86'","InducedVoltage(PhaseA) [V] - b='0.88'","InducedVoltage(PhaseA) [V] - b='0.9'","InducedVoltage(PhaseB) [V] - b='0.7'","InducedVoltage(PhaseB) [V] - b='0.72'","InducedVoltage(PhaseB) [V] - b='0.74'","InducedVoltage(PhaseB) [V] - b='0.76'","InducedVoltage(PhaseB) [V] - b='0.78'","InducedVoltage(PhaseB) [V] - b='0.8'","InducedVoltage(PhaseB) [V] - b='0.82'","InducedVoltage(PhaseB) [V] - b='0.84'","InducedVoltage(PhaseB) [V] - b='0.86'","InducedVoltage(PhaseB) [V] - b='0.88'","InducedVoltage(PhaseB) [V] - b='0.9'","InducedVoltage(PhaseC) [V] - b='0.7'","InducedVoltage(PhaseC) [V] - b='0.72'","InducedVoltage(PhaseC) [V] - b='0.74'","InducedVoltage(PhaseC) [V] - b='0.76'","InducedVoltage(PhaseC) [V] - b='0.78'","InducedVoltage(PhaseC) [V] - b='0.8'","InducedVoltage(PhaseC) [V] - b='0.82'","InducedVoltage(PhaseC) [V] - b='0.84'","InducedVoltage(PhaseC) [V] - b='0.86'","InducedVoltage(PhaseC) [V] - b='0.88'","InducedVoltage(PhaseC) [V] - b='0.9'"
2.66000000000001,217.810671112556,218.187423622523,218.322312710045,218.579334133126,218.793896152372,219.316815396092,218.808061956333,218.815861850058,218.85732338893,218.785578925068,219.008944980661,-48.2267882957521,-48.5521057337179,-49.0553185013787,-49.3784898117855,-49.6932016568696,-49.6550444614385,-50.5999976400051,-50.9808610315021,-51.2779121562723,-51.6387134806451,-51.6048357612375,-173.744224515357,-173.577644574793,-173.625481527201,-173.532386561903,-173.459674716062,-173.073300924548,-173.6829124492,-173.779464444962,-173.817964190295,-173.955614426458,-173.780934494452
2.67000000000001,217.23828323312,217.483252251949,217.694063291324,217.863775777471,218.294584400514,217.777762686142,217.982594591731,218.104860360122,218.182596811062,218.127110727367,218.351858904664,-46.8580129793283,-47.3165543438958,-47.7466072578425,-48.158251690783,-48.2564478351488,-49.2488411415748,-49.4903006014291,-49.7604219440062,-50.0217462424457,-50.3670770947651,-50.3329473155456,-174.785377708978,-174.752457421209,-174.727933332333,-174.724231287687,-174.437267238706,-175.076317681677,-174.987633240253,-174.974675896786,-174.978733923031,-175.101781724155,-174.926209937601
2.68000000000001,216.756905117868,217.035964005852,217.118009105013,217.310738097534,217.688343314176,217.556509306738,217.510372764362,217.354821479265,217.485843557391,217.52998794724,217.752680215089,-45.3845088759286,-45.8111777164927,-46.3705977427065,-46.7618461665153,-46.9149656300238,-47.5273819872835,-48.0165217285722,-48.5627739111982,-48.7728047396163,-49.019090680863,-48.9889427041923,-175.717037253634,-175.653062482123,-175.758448898752,-175.735268868157,-175.503798818039,-175.763864066611,-175.924158152813,-176.187948882761,-176.141348417713,-176.166113150741,-175.994962221709
2.69000000000001,216.381862750517,216.638549073239,216.798064610632,216.99620000577,216.569357053045,217.060066623259,217.081908622219,217.108134618627,217.190119979727,217.292471420835,217.378032559529,-43.7933719653061,-44.2451788241205,-44.7289244349169,-45.1172388570564,-46.0640379035815,-46.0656699699247,-46.4870966277786,-46.8543617803296,-47.1134563241271,-47.3020077627007,-47.4098484482932,-176.526145370307,-176.487387835145,-176.517991882821,-176.492525270486,-177.054770606194,-176.70516461209,-176.800021416051,-176.88421216219,-176.887541512291,-176.855000509446,-176.823396651388
2.70000000000001,216.021560923929,216.268107652337,216.40614882171,216.711865407243,216.312956269463,216.604430386458,216.656720779221,216.790022979294,216.913405185509,217.055156984727,217.076596392063,-42.1780906646463,-42.6428387357514,-43.1495498653067,-43.4303586005658,-44.3527629454044,-44.5536905480881,-44.9447266800407,-45.2064532917962,-45.4245711444812,-45.5746157712211,-45.7474810277747,-177.306868120641,-177.281097162577,-177.335149378197,-177.20439522117,-177.742972073625,-177.5913522887,-177.658330369757,-177.63611745597,-177.599540797096,-177.528771336741,-177.56438994711
2.71000000000001,215.524836800116,215.800493025384,216.065923261194,216.177463874173,215.918585846747,216.292539983923,216.363611452997,216.559268374361,216.691823851642,216.863350353835,216.759804971328,-40.6840797373575,-41.1221204210444,-41.5045464897124,-41.9790252402075,-42.7624656386516,-42.8830345370113,-43.2575453349737,-43.4584662221626,-43.6688018062459,-43.7893628044306,-44.087593056108,-178.204841158797,-178.153060480007,-178.08361294652,-178.14610929491,-178.548641260615,-178.31858166687,-178.368544712798,-178.285208502205,-178.241359557069,-178.142219775168,-178.304354623207
2.72000000000001,215.013776019182,215.291160232089,215.569690617909,215.020379210537,215.506109234803,215.774840166341,215.980105417365,216.170169937546,216.299718580343,216.482036512255,216.343686039433,-39.1954425641106,-39.6338994147705,-40.0054802550509,-41.1307932441762,-41.18131702886,-41.4065943536268,-41.6506090757052,-41.8586716780467,-42.0734403191514,-42.1838006682718,-42.5173715282279,-179.102496665523,-179.052016928202,-178.972530593649,-179.684868685423,-179.357532605148,-179.234008203519,-179.153357206741,-179.077633418434,-179.03871203446,-178.930492469984,-179.128170960829
2.73000000000001,214.43769138835,214.783119325915,215.005470184826,214.913767649241,215.352610314676,215.287680499293,215.479181712927,215.633542055307,215.759121559941,215.946819724289,215.837043707917,-37.7638825356519,-38.1356944781419,-38.5622664942631,-39.240320320616,-39.3374129780244,-39.89324711548,-40.152607032401,-40.3978983232522,-40.6178425001291,-40.7236505632513,-41.0295057116206,-180.050440512164,-179.935087736041,-179.912261433166,-180.177818089111,-179.897039713092,-180.105277831383,-180.04059229941,-180.002954155029,-179.969867080304,-179.858024942039,-180.027867583765
2.74000000000001,213.828650067441,214.140069672122,213.886084489165,214.398592906051,214.666160953053,214.681994178259,214.789324162656,215.070605183257,215.146251946227,215.326741957172,215.277825802609,-36.3579000440817,-36.7661499045047,-37.6634393384867,-37.7437680192216,-38.0133596826426,-38.4904562567567,-38.8339810957927,-38.9543991266672,-39.2260638918063,-39.3397185707023,-39.5858573142227,-181.016655706623,-180.938468416736,-181.386089277721,-181.057750307473,-180.949487085336,-181.079691697092,-181.100275246351,-180.939419024234,-180.958167832679,-180.855188397896,-180.965096197597
2.75000000000001,212.759075003227,213.074552966874,212.796202549886,213.052632457869,213.323504533122,213.776315576564,213.669688433113,213.750970271789,214.014052726516,214.052816603907,214.266205827013,-35.4062951026191,-35.8121871651684,-36.7331416890271,-37.0702234612996,-37.3377555650534,-37.3848684226408,-37.940422794569,-38.260180793781,-38.3446091421769,-38.602332969212,-38.585508946759,-182.423725497102,-182.344102228033,-182.816254954615,-182.744223856737,-182.633890039799,-182.334040251222,-182.568572167832,-182.608782410579,-182.442708572611,-182.483043519405,-182.331336225919
