"Time [ms]","InducedVoltage(PhaseA) [V] - b='0.7'","InducedVoltage(PhaseA) [V] - b='0.72'","InducedVoltage(PhaseA) [V] - b='0.74'","InducedVoltage(PhaseA) [V] - b='0.76'","InducedVoltage(PhaseA) [V] - b='0.78'","InducedVoltage(PhaseA) [V] - b='0.8'","InducedVoltage(PhaseA) [V] - b='0.82'","InducedVoltage(PhaseA) [V] - b='0.84'","InducedVoltage(PhaseA) [V] - b='0.86'","InducedVoltage(PhaseA) [V] - b='0.88'","InducedVoltage(PhaseA) [V] - b='0.9'","InducedVoltage(PhaseB) [V] - b='0.7'","InducedVoltage(PhaseB) [V] - b='0.72'","InducedVoltage(PhaseB) [V] - b='0.74'","InducedVoltage(PhaseB) [V] - b='0.76'","InducedVoltage(PhaseB) [V] - b='0.78'","InducedVoltage(PhaseB) [V] - b='0.8'","InducedVoltage(PhaseB) [V] - b='0.82'","InducedVoltage(PhaseB) [V] - b='0.84'","InducedVoltage(PhaseB) [V] - b='0.86'","InducedVoltage(PhaseB) [V] - b='0.88'","InducedVoltage(PhaseB) [V] - b='0.9'","InducedVoltage(PhaseC) [V] - b='0.7'","InducedVoltage(PhaseC) [V] - b='0.72'","InducedVoltage(PhaseC) [V] - b='0.74'","InducedVoltage(PhaseC) [V] - b='0.76'","InducedVoltage(PhaseC) [V] - b='0.78'","InducedVoltage(PhaseC) [V] - b='0.8'","InducedVoltage(PhaseC) [V] - b='0.82'","InducedVoltage(PhaseC) [V] - b='0.84'","InducedVoltage(PhaseC) [V] - b='0.86'","InducedVoltage(PhaseC) [V] - b='0.88'","InducedVoltage(PhaseC) [V] - b='0.9'"
2.76000000000001,212.020026024695,212.243736279827,212.074762621764,212.338314777941,212.626147120834,212.963036389097,213.0031330451,213.120973175149,213.249473118596,213.335742555099,213.590482321968,-34.1100386868631,-34.6061239729023,-35.4218302406839,-35.7533850988301,-36.0051983760323,-36.1689199459558,-36.5798762990366,-36.8647130025879,-37.0838852303934,-37.2944470941994,-37.2382242438907,-183.485314978823,-183.497123752224,-183.864452708918,-183.787850407527,-183.66305940638,-183.479937095346,-183.57164014316,-183.57774294081,-183.546941406162,-183.541383229269,-183.350402641055
2.77000000000001,211.444983712988,210.808529948592,211.516275865761,211.801337808795,212.100274188715,212.438059862172,212.470971552703,212.607555950692,212.762358507021,212.87267540091,212.985794068646,-32.6381789178598,-33.9828321824165,-33.9359337346357,-34.2474383850488,-34.4895839339054,-34.6540472713874,-35.0728943383172,-35.3402926785817,-35.5344613145514,-35.7218484583199,-35.8068681686752,-184.366403276182,-185.225657610763,-184.73343669333,-184.638062425582,-184.504994616994,-184.323244788906,-184.424166875266,-184.413446734458,-184.358408486943,-184.330361847765,-184.281261751046
2.78000000000001,210.766826041373,210.757696694,211.078077570243,211.373619681132,211.666875171859,211.965587256618,212.011318840091,212.183771738259,212.338884600832,212.474280451666,212.536687794673,-31.2560875458667,-31.982145572329,-32.3191522619226,-32.6220806247668,-32.8713921763868,-33.0756634279117,-33.4830414489728,-33.715944140994,-33.9110378823448,-34.0739931069423,-34.210573938509,-185.33117609893,-185.574290069054,-185.466239523799,-185.363357129004,-185.238989107506,-185.098805948042,-185.188512065493,-185.143693995324,-185.090239594626,-185.038551816061,-185.041736027672
2.79000000000001,209.685038832785,210.354927862366,210.696805424182,211.015258730124,211.294240377322,211.574048199414,211.589691641559,211.796315063681,211.959598463843,212.112930093858,212.096492010219,-30.2620424094346,-30.3202377087974,-30.6381561400171,-30.9200388224462,-31.1849877224823,-31.4086132585212,-31.847375943278,-32.0476070635789,-32.2358229261688,-32.3815050668586,-32.5974510136884,-186.677138987043,-186.254908279779,-186.128740970076,-186.005988077192,-185.898987845831,-185.78117209968,-185.901371871788,-185.824081637909,-185.76446509716,-185.696419366102,-185.779783576956
2.80000000000001,209.409773138161,209.842573876362,210.231335140887,210.540093417005,210.825902587808,211.097442827368,211.325501332987,211.23525784964,211.405465059822,211.558592915087,211.590641066212,-28.4693417160808,-28.7639905696746,-29.0375166991041,-29.3310287250603,-29.5905436359711,-29.8237370359,-30.0538955722018,-30.5487986155373,-30.7311045033842,-30.8781146742043,-31.0463876657507,-187.216666732151,-187.031885200825,-186.862616687156,-186.752511273724,-186.641169210869,-186.534241130243,-186.44676988091,-186.665211086506,-186.600684183438,-186.534645941908,-186.570923933146
2.81000000000001,208.91208732694,209.367395733059,209.70691551668,209.998916628465,210.301744677738,210.588232747183,210.752658082544,210.623996374798,210.792353433695,210.94549686865,211.076941233324,-26.8881572233981,-27.1623946909993,-27.4863346538701,-27.7982422053125,-28.0423151025,-28.2635354228289,-28.5566090443778,-29.0902174585328,-29.2753042916594,-29.4232982762044,-29.4930850086195,-187.95903281226,-187.755432957928,-187.637985085762,-187.547368973165,-187.421104514443,-187.301663942374,-187.279926937853,-187.538627170031,-187.477849709497,-187.413391787566,-187.351575512698
2.82000000000001,208.433854266599,208.812943749903,209.184902887127,209.458138960777,209.781274544807,210.01848917552,210.267776423434,210.542051418003,210.26499423987,210.438248168548,210.561085775399,-25.2745460841253,-25.6252478116836,-25.9194298130205,-26.2514959793236,-26.4766264120808,-26.7486684809859,-26.9579233956485,-27.0942497797133,-27.7198043680649,-27.8486031592473,-27.9276808302087,-188.666796868939,-188.541485347746,-188.395297642757,-188.326061483551,-188.182005445836,-188.114013911586,-188.010027025554,-187.87215609585,-188.252840943307,-188.169885496292,-188.117921895004
2.83000000000001,207.848464780677,208.236562545258,208.547690886593,208.815007113386,209.157104324523,209.416614581312,209.673782529823,209.839091365577,210.058759803244,209.825365553279,209.971819053995,-23.7594910200312,-24.1029721832764,-24.4584868824782,-24.7978143309846,-25.0051803977913,-25.2581048431844,-25.458539460671,-25.7036643211861,-25.8385778382386,-26.369377324631,-26.4257758050668,-189.46648186052,-189.335419589776,-189.252165913154,-189.191500399,-189.030850081337,-188.94206727306,-188.833073365072,-188.80511139088,-188.695993637381,-189.015943131121,-188.941650650754
2.84000000000001,207.21972461763,207.83223587087,207.834743257262,208.137768834279,208.483542555016,208.736409275126,209.012842359671,209.17657530263,209.354819103827,209.538331337616,209.30520023453,-22.2794500159107,-22.3965319210984,-23.0654021484922,-23.3704671373958,-23.5749573678612,-23.8383076905824,-24.0175109002538,-24.2649525591665,-24.4415813694665,-24.5602827498192,-24.9919622470618,-190.294740728938,-189.941936183777,-190.170015414498,-190.0764269125,-189.914383536674,-189.832324095032,-189.707798608044,-189.683518694989,-189.617075945761,-189.526239966142,-189.827056684153
2.85000000000001,206.961697828839,207.004266756963,207.483920756873,207.787615080865,207.801503687982,207.978690995236,208.325012562099,208.488866677409,208.699440261001,208.66023317343,209.193920876574,-20.4160498461781,-21.110603046437,-21.2980193272372,-21.6051610679002,-22.1457976318229,-22.4885234593408,-22.5956350347001,-22.8435002852023,-22.989097396392,-23.3275144087774,-23.0024670264173,-190.738099663723,-190.957998227917,-190.711746047162,-190.620381279258,-190.792621367561,-190.784764414537,-190.595052275608,-190.572721437332,-190.476139132231,-190.607444818494,-190.150532643696
