"Time [ms]","Moving1.Torque [NewtonMeter] - b='0.7'","Moving1.Torque [NewtonMeter] - b='0.72'","Moving1.Torque [NewtonMeter] - b='0.74'","Moving1.Torque [NewtonMeter] - b='0.76'","Moving1.Torque [NewtonMeter] - b='0.78'","Moving1.Torque [NewtonMeter] - b='0.8'","Moving1.Torque [NewtonMeter] - b='0.82'","Moving1.Torque [NewtonMeter] - b='0.84'","Moving1.Torque [NewtonMeter] - b='0.86'","Moving1.Torque [NewtonMeter] - b='0.88'","Moving1.Torque [NewtonMeter] - b='0.9'"
6.33999999999991,171.455170829626,174.97909359086,178.417458462689,181.793463851722,184.826842473663,187.804397389322,190.318432029231,192.761868766228,194.951226328772,196.910015761901,198.296566685
6.34999999999991,170.933642372242,174.424852922573,177.858919330545,181.245360496862,184.327368372553,187.313351287622,189.849845121073,192.311312746649,194.508007564111,196.283472104086,197.786286145853
6.35999999999991,170.422320605299,173.868572659127,177.349987104644,180.738693417643,183.861343215627,186.838946569207,189.400344195001,191.877271679593,194.076230480385,195.630666530928,197.271321238263
6.36999999999991,169.848332257788,173.410494505959,176.897787575517,180.340105215171,183.451028483113,186.488442075893,189.074071005428,191.560122289111,193.77185406163,195.596915849274,197.10196724046
6.37999999999991,169.283620932941,172.920795388261,176.472025938599,179.935117956649,183.052607628168,186.134510826516,188.735252320076,191.231150722545,193.453387909222,195.455240522277,196.877168666379
6.38999999999991,168.725669050147,172.403286235422,176.030303128538,179.492899189853,182.627775484391,185.748406425815,188.353733387795,190.858876017611,193.092330316534,195.194552405365,196.569091322074
6.39999999999991,168.172260297738,171.870426604191,175.536130452572,178.994770459226,182.159594115415,185.300463192402,187.913807058243,190.424190133623,192.671901840981,194.807909264846,196.157862200467
6.40999999999991,167.640843747986,171.331177690724,174.989995281958,178.466224366812,181.647716041771,184.80540621107,187.432572560582,189.941640690911,192.201293155073,194.314752333251,195.654456083967
6.41999999999991,167.110266713347,170.782103212054,174.432997974402,177.927420390475,181.124800197512,184.300279646537,186.935453820459,189.447060402964,191.710270655076,193.774718694631,195.116627144401
6.42999999999991,166.582888540886,170.259585200891,173.899187070105,177.410132155684,180.612806241332,183.803396257613,186.445054090425,188.964256260614,191.222434054957,193.228214639839,194.57721398647
6.43999999999991,166.057527503624,169.730664862826,173.383710115429,176.906061241234,180.107499216038,183.308211276164,185.960988989973,188.491263934107,190.743508410745,192.708943554622,194.075253416843
6.44999999999991,165.507518665285,169.194004569501,172.876665830957,176.38651695978,179.589497848657,182.800436300359,185.4664736937,188.007225484631,190.258529334554,192.224878844124,193.598753338451
6.45999999999991,164.934561897266,168.646518536231,172.332644456812,175.859617097393,179.050963462459,182.274101204484,184.951981674091,187.501965997096,189.756564728052,191.750413246801,193.118432934082
6.4699999999999,164.35425397638,168.087253933877,171.769122811061,175.302293719991,178.499764763595,181.735297802689,184.420996587163,186.978937168081,189.237348355091,191.253841181447,192.611259007266
6.4799999999999,163.767814925162,167.505989737915,171.229931906725,174.775077028549,177.963294447186,181.19373459731,183.8898720599,186.448760450265,188.705664394363,190.724982082982,192.065055102703
6.4899999999999,163.181654476338,166.929144525334,170.685346857134,174.235931034495,177.436060936236,180.639347907133,183.349074075743,185.909325370991,188.165588934814,190.186807623395,191.511238740197
6.4999999999999,162.607965793725,166.370570746981,170.133912029296,173.683439086809,176.900754690797,180.080245927913,182.804147395593,185.366350859038,187.62203123655,189.62649689156,190.938828502171
6.5099999999999,162.05260628046,165.828051639315,169.57711334881,173.125136210179,176.371195589922,179.554095525677,182.261145482052,184.837964094946,187.07326764126,189.027859956634,190.337201626787
6.5199999999999,161.499607754122,165.271903828215,169.006051423083,172.556453025733,175.836194784555,179.023512220886,181.728856361839,184.306631159374,186.547152500085,188.432129422762,189.729209319096
6.5299999999999,160.922499786871,164.69892185501,168.435031158181,171.985448739853,175.289333326622,178.49252086468,181.173665362607,183.7478808407,185.98669653478,187.831544163452,189.118262867019
6.5399999999999,160.331063607224,164.124008677255,167.86952307944,171.400504170009,174.721036967361,177.943042467365,180.591255293869,183.158760873135,185.397280636228,187.221966779317,188.497893912502
6.5499999999999,159.72503258768,163.538887401556,167.310314485355,170.804934480861,174.130631901504,177.36214733548,179.982930935563,182.539561816047,184.779890630921,186.632924418695,187.920044413297
6.5599999999999,159.082368494702,162.944587112994,166.754160665283,170.210026350266,173.530242949821,176.755635961334,179.35935064573,181.902052620174,184.144898992375,186.076217056039,187.33717714797
6.5699999999999,158.419073702247,162.301526145628,166.20357887743,169.619309347852,172.925938049514,176.13024144161,178.726051050246,181.255045465453,183.500250752226,185.552663469385,186.766320503566
6.5799999999999,157.773501450935,161.643441774005,165.620064490407,169.044696480335,172.344281848423,175.519367598148,178.111031794011,180.623910803131,182.86830902465,185.010493886705,186.201090908849
6.5899999999999,157.222794945739,161.169015791717,165.013388846716,168.416091304427,171.75220619612,174.906557097658,177.506276738495,180.011197188639,182.252776779929,184.251840902248,185.486317619151
6.5999999999999,156.665035312352,160.639134088019,164.403574105123,167.801802071861,171.171163569088,174.296852395162,176.901900957647,179.396921303044,181.630612172468,183.490034147395,184.768961079868
6.6099999999999,156.089139183998,160.06584468333,163.792628395424,167.195231143191,170.586096322976,173.675481523581,176.28385394512,178.764098693595,180.989956100767,182.761470556263,184.080079706333
6.6199999999999,155.48859606305,159.469312283584,163.18965725516,166.586782827015,169.986891974928,173.035599046841,175.645245474702,178.110778475414,180.316444717307,182.074530925487,183.43328547351
6.6299999999999,154.870816171848,158.878741176238,162.607204377525,165.978082661276,169.377045338821,172.38685408658,175.004471102827,177.444111340571,179.63509269749,181.421443370747,182.805929737512
6.6399999999999,154.236393783536,158.281032203269,162.019856849024,165.36029524372,168.751782589495,171.736675431927,174.348384434891,176.762414473654,178.957971625492,180.765538638609,182.176707104254
6.6499999999999,153.586038730942,157.671403213684,161.430201146689,164.748305357736,168.131884532913,171.099075443996,173.699965273619,176.098516880905,178.295662117433,180.132321123593,181.558131812551
6.6599999999999,152.958155223726,157.085052117824,160.866904522154,164.162357396364,167.540049693167,170.491802277479,173.069581611812,175.453866319543,177.647971533292,179.492487324007,180.930710307026
6.6699999999999,152.343280670003,156.506950231008,160.303998920495,163.572361622338,166.942142339731,169.880637911166,172.441879582791,174.820928125119,177.000425210137,178.830724064707,180.278704842247
6.6799999999999,151.73922776232,155.936713084544,159.738917007225,162.980090785514,166.333295287744,169.260983615071,171.79671184609,174.174924266944,176.357645897035,178.149981057576,179.60430797157
6.6899999999999,151.143421685353,155.358708003619,159.163612886012,162.3823911441,165.71187622557,168.630571051746,171.150874904335,173.519557745549,175.700591092771,177.482903160052,178.923989594622
6.6999999999999,150.54255610959,154.775939068824,158.587166407256,161.774127391358,165.116862552487,168.006857957204,170.50417489814,172.869696156166,175.048784532955,176.788498900452,178.264730305329
6.70999999999989,149.946729211587,154.197230257766,158.016185037079,161.170496309537,164.517079852606,167.39076625564,169.867997019855,172.226336258068,174.403391493195,176.112825713924,177.608156685048
6.71999999999989,149.350143139846,153.619043803023,157.448360767149,160.575731610838,163.90459224183,166.771625059672,169.24151137744,171.588692412201,173.765817507533,175.481565381886,176.969273176938
6.72999999999989,148.748382371108,153.030413258376,156.878265797359,159.990473189823,163.274743266405,166.160847318354,168.624442705128,170.959507084763,173.137141250053,174.900091014897,176.352417045497
6.73999999999989,148.140735485254,152.420274600534,156.295380344456,159.401067482442,162.633728612473,165.551472524666,168.009222979766,170.333553603226,172.509816651548,174.338088441523,175.741539098553
6.74999999999989,147.534332438964,151.796627471532,155.700061733883,158.792496838767,161.970001816615,164.919823512127,167.371696508149,169.684799713998,171.85866975494,173.75528744335,175.115500942769
6.75999999999989,146.921203370536,151.171813805806,155.067808760406,158.171092225178,161.317132929525,164.269466823871,166.717643678463,169.019096907908,171.190885793788,173.118500659496,174.461371233465
