"Time [ms]","Current(PhaseA) [A] - b='0.7'","Current(PhaseA) [A] - b='0.72'","Current(PhaseA) [A] - b='0.74'","Current(PhaseA) [A] - b='0.76'","Current(PhaseA) [A] - b='0.78'","Current(PhaseA) [A] - b='0.8'","Current(PhaseA) [A] - b='0.82'","Current(PhaseA) [A] - b='0.84'","Current(PhaseA) [A] - b='0.86'","Current(PhaseA) [A] - b='0.88'","Current(PhaseA) [A] - b='0.9'","Current(PhaseB) [A] - b='0.7'","Current(PhaseB) [A] - b='0.72'","Current(PhaseB) [A] - b='0.74'","Current(PhaseB) [A] - b='0.76'","Current(PhaseB) [A] - b='0.78'","Current(PhaseB) [A] - b='0.8'","Current(PhaseB) [A] - b='0.82'","Current(PhaseB) [A] - b='0.84'","Current(PhaseB) [A] - b='0.86'","Current(PhaseB) [A] - b='0.88'","Current(PhaseB) [A] - b='0.9'","Current(PhaseC) [A] - b='0.7'","Current(PhaseC) [A] - b='0.72'","Current(PhaseC) [A] - b='0.74'","Current(PhaseC) [A] - b='0.76'","Current(PhaseC) [A] - b='0.78'","Current(PhaseC) [A] - b='0.8'","Current(PhaseC) [A] - b='0.82'","Current(PhaseC) [A] - b='0.84'","Current(PhaseC) [A] - b='0.86'","Current(PhaseC) [A] - b='0.88'","Current(PhaseC) [A] - b='0.9'"
0.2,3.43173189675972,3.46560859210317,3.50557418910032,3.54303308669952,3.57543124870905,3.60930606853676,3.65158818123363,3.68937492391882,3.71592060124842,3.73513664069136,3.74738460700759,-3.02700778206168,-2.89579985718849,-2.78171953143844,-2.68050743924452,-2.58054965687414,-2.50296068051816,-2.43501491094954,-2.38388473831448,-2.3320048196028,-2.28046555283203,-2.25669872311826,-0.404724114698034,-0.56980873491468,-0.723854657661877,-0.862525647454997,-0.994881591834905,-1.1063453880186,-1.21657327028408,-1.30549018560433,-1.38391578164562,-1.45467108785934,-1.49068588388933
0.21,3.59994395465992,3.6349979804731,3.6758761946501,3.71451309740189,3.74806802273932,3.78611561167019,3.82624587548289,3.8647252326616,3.892237429492,3.91074634523372,3.92430912925098,-3.16292649270759,-3.02576674099541,-2.90566601082367,-2.79894536913016,-2.69516262838314,-2.61399231320667,-2.54060858480168,-2.48563107550317,-2.43071918228314,-2.37649368827603,-2.35087922616384,-0.437017461952326,-0.609231239477686,-0.770210183826428,-0.915567728271731,-1.05290539435617,-1.17212329846351,-1.28563729068121,-1.37909415715843,-1.46151824720887,-1.53425265695769,-1.57342990308714
0.22,3.76873340628262,3.80490115075312,3.84659172893419,3.88659793180927,3.92075236225998,3.96467279620666,4.00139395828178,4.04054704253519,4.06912298957733,4.08614341367181,4.10169965533654,-3.29821036798563,-3.15523875682947,-3.02911513499371,-2.91711761366612,-2.80890929958773,-2.72462567775942,-2.64593304350883,-2.58714342673199,-2.52927860935877,-2.47210963730685,-2.44493373062857,-0.470523038296986,-0.649662393923654,-0.817476593940488,-0.969480318143152,-1.11184306267225,-1.24004711844724,-1.35546091477295,-1.45340361580319,-1.53984438021856,-1.61403377636497,-1.65676592470797
0.23,3.94307575537212,3.9808628459577,4.02379237147441,4.06438810899601,4.10155339913351,4.14064503698982,4.18287081079679,4.22332064406946,4.2526886854828,4.27188330327998,4.28696592651992,-3.44313384124141,-3.29477465229179,-3.16258934506484,-3.04503241358401,-2.933780148365,-2.84254386875376,-2.76144203130969,-2.69994846992742,-2.63921269503184,-2.57749569806356,-2.54996212263659,-0.49994191413071,-0.686088193665903,-0.861203026409571,-1.019355695412,-1.16777325076851,-1.29810116823607,-1.4214287794871,-1.52337217414204,-1.61347599045096,-1.69438760521642,-1.73700380388334
0.24,4.11749037058795,4.15666240138269,4.20068364207144,4.24202603484538,4.2815653686861,4.3179704386006,4.36405710101218,4.40563756714178,4.43599408179028,4.45602407818511,4.47154922123355,-3.58411953532282,-3.43032484837685,-3.29205679689588,-3.16897946551814,-3.05474291419603,-2.95728527159235,-2.8730014323755,-2.80826236414829,-2.74482389315476,-2.6789649138797,-2.65095116047027,-0.533370835265131,-0.726337553005844,-0.908626845175557,-1.07304656932725,-1.22682245449007,-1.36068516700825,-1.49105566863668,-1.59737520299349,-1.69117018863552,-1.77705916430541,-1.82059806076328
0.25,4.29134057936073,4.33161980302815,4.37655622946977,4.41998503422006,4.46010405552938,4.4959738283897,4.54375347114153,4.58641923925181,4.61784145575587,4.63799663903657,4.6544432267957,-3.72102013689651,-3.56159391613116,-3.41720535183884,-3.29124768028612,-3.17154193364969,-3.06859217625633,-2.98037449600364,-2.91199145676262,-2.84597388752553,-2.77605011224125,-2.74785877723832,-0.570320442464223,-0.77002588689699,-0.959350877630928,-1.12873735393393,-1.28856212187969,-1.42738165213337,-1.56337897513789,-1.67442778248919,-1.77186756823034,-1.86194652679532,-1.90658444955738
0.26,4.46415031072926,4.50531788240487,4.55100826005524,4.59615635862919,4.63682550741663,4.67303747214276,4.72160188107954,4.76523905661107,4.79780021061599,4.81758545971186,4.83497120218163,-3.85445354351199,-3.68922688939363,-3.53870318715599,-3.40933833022516,-3.28473813563428,-3.1765189529831,-3.084004552831,-3.01163967878514,-2.9432265115117,-2.8693115427035,-2.84047449763672,-0.609696767217275,-0.816090993011233,-1.01230507289925,-1.18681802840403,-1.35208737178235,-1.49651851915965,-1.63759732824854,-1.75359937782593,-1.85457369910429,-1.94827391700835,-1.99449670454491
0.27,4.63591991530429,4.67794194809862,4.72598979488608,4.77088604026678,4.81200409420039,4.84944931068819,4.89782456787481,4.94240179341355,4.97570937987005,4.9952544652706,5.0131657157487,-3.98593997869293,-3.81500638081479,-3.66174476426311,-3.5253017760169,-3.39585160487971,-3.28302154825882,-3.18563762342868,-3.10946659481552,-3.03807307403394,-2.96052446588346,-2.93042016604614,-0.649979936611354,-0.862935567283828,-1.06424503062296,-1.24558426424989,-1.41615248932068,-1.56642776242937,-1.71218694444613,-1.83293519859802,-1.93763630583611,-2.03472999938714,-2.08274554970256
0.28,4.80910268840473,4.85270937484921,4.9014698483812,4.94695066038677,4.98849456541446,5.02749687441348,5.07556299532512,5.12100434071653,5.15481665802701,5.17442315718388,5.19252012587088,-4.118202932366,-3.94305403336948,-3.78387864259352,-3.64188755440478,-3.50766798791637,-3.3903628655084,-3.28817338328708,-3.20805663851355,-3.13332728407,-3.05279405700638,-3.0207893303765,-0.690899756038734,-0.909655341479735,-1.11759120578768,-1.305063105982,-1.48082657749809,-1.63713400890509,-1.78738961203804,-1.91294770220298,-2.02148937395701,-2.1216291001775,-2.17173079549439
0.29,4.98215144587652,5.02850503268111,5.07791574226954,5.12411022230237,5.16563841283445,5.20610702608538,5.25464406548389,5.30089455347018,5.33499068792849,5.35494316687437,5.37292295242569,-4.25175786915351,-4.07265646443871,-3.90753585508149,-3.76011381375776,-3.62075707194662,-3.49896141652685,-3.3926343202965,-3.30863178192977,-3.23021231717813,-3.14717125532077,-3.11276382973615,-0.730393576723008,-0.955848568242399,-1.17037988718805,-1.36399640854461,-1.54488134088783,-1.70714560955853,-1.86200974518739,-1.99226277154041,-2.10477837075037,-2.2077719115536,-2.26015912268954
