"Time [ms]","InducedVoltage(PhaseA) [V]","InducedVoltage(PhaseB) [V]","InducedVoltage(PhaseC) [V]"
73.5900000000042,145.672112094469,90.2731228474673,-236.259385731037
73.6000000000042,144.478607568693,91.6555997277302,-236.45602959969
73.6100000000042,143.279439013494,93.0341196761386,-236.643092279486
73.6200000000042,142.075110262707,94.4089046870655,-236.821116670163
73.6300000000042,140.866058871375,95.7801588635287,-236.990416132787
73.6400000000041,139.652214232033,97.1479193770108,-237.151664240549
73.6500000000041,138.431643228082,98.511335535284,-237.303802806931
73.6600000000041,137.204587403894,99.8705137908173,-237.445609406446
73.6700000000041,135.971086904124,101.225777583785,-237.578312488956
73.6800000000041,134.731260601156,102.577381313695,-237.70202188257
73.6900000000041,133.48528634356,103.925627639784,-237.816816198302
73.7000000000041,132.233411470134,105.270844841049,-237.922741533027
73.7100000000041,130.975948965317,106.613300095576,-238.019870969697
73.7200000000041,129.716834217541,107.949044501965,-238.103785674962
73.7300000000041,128.465195331429,109.269501291304,-238.166735435999
73.7400000000041,127.197669575302,110.599149557444,-238.235535410238
73.7500000000041,125.924902658675,111.924164274446,-238.294509436528
73.7600000000041,124.646714543758,113.244244213245,-238.343470368399
73.7700000000041,123.363035888052,114.559214184379,-238.382323641989
73.7800000000041,122.073927491922,115.869025125842,-238.411089667941
73.7900000000041,120.779662168241,117.173753792427,-238.429965834588
73.8000000000041,119.48087897854,118.473799210755,-238.439943185727
73.8100000000041,118.178622843701,119.769964376359,-238.443304265405
73.8200000000041,116.871224753606,121.060433907982,-238.434604832434
73.8300000000041,115.559249837566,122.345716304273,-238.415834995823
73.8400000000041,114.242914343649,123.625959628493,-238.387405178161
73.8500000000041,112.922288022715,124.901331420446,-238.349619486165
73.8600000000041,111.597394085972,126.172009102954,-238.302718202696
73.8700000000041,110.268220673315,127.438155424808,-238.246849076098
73.8800000000041,108.9346165979,128.699767947121,-238.182263754517
73.8900000000041,107.59639073592,129.956850959434,-238.109685949985
73.900000000004,106.25411481075,131.2101331297,-238.026612905159
73.910000000004,104.90751390928,132.457575721706,-237.93345999124
73.920000000004,103.556728424614,133.699494471101,-237.830220119128
73.930000000004,102.202049001798,134.935998509533,-237.717088416359
73.940000000004,100.843862074529,136.167298169565,-237.59437692126
73.950000000004,99.482533854417,137.3935925636,-237.462469834655
73.960000000004,98.1184897434484,138.615161630118,-237.321629655073
73.970000000004,96.7516734988905,139.831381473998,-237.171107549911
73.980000000004,95.3797268157697,141.041554208676,-237.011761276875
73.990000000004,94.0036316179893,142.245911588695,-236.843933857748
74.000000000004,92.6232769331459,143.444791991965,-236.667749426413
74.010000000004,91.2386596828019,144.638599828562,-236.483231115374
74.020000000004,89.8498251737933,145.827626987893,-236.290383446211
74.030000000004,88.4568474337877,147.01205317495,-236.089217338296
74.040000000004,87.0615713605249,148.189146163097,-235.87372960325
74.050000000004,85.672889854882,149.348577176295,-235.622746026946
74.060000000004,84.2742398436513,150.515861338241,-235.390863119875
74.070000000004,82.8720378251213,151.676978787263,-235.150117341164
74.080000000004,81.4661398092165,152.831614322607,-234.900147760568
74.090000000004,80.0564921975388,153.979537385057,-234.640572558452
74.100000000004,78.6431355057626,155.120610037807,-234.371083736005
74.110000000004,77.2263564921771,156.254904759484,-234.091455070781
74.120000000004,75.8067967819687,157.382716234955,-233.80193520325
74.130000000004,74.3861575119409,158.505446833107,-233.503522815365
74.140000000004,72.9623108527033,159.620831428736,-233.193392684873
74.1500000000039,71.5359079343614,160.729455900316,-232.873609866313
74.1600000000039,70.1070416436078,161.831589806022,-232.544704086909
74.1700000000039,68.6757280065287,162.927414390596,-232.206971828312
74.1800000000039,67.24192907413,164.017072388156,-231.860572319129
74.1900000000039,65.8055507744504,165.100675492746,-231.505592039449
74.2000000000039,64.3665418082862,166.178317241522,-231.142154950283
74.2100000000039,62.9253136085861,167.249972140343,-230.769509219739
74.2200000000039,61.4813364969935,168.314746958964,-230.386642388052
74.2300000000039,60.0349766797292,169.372330688172,-229.994192336729
74.2400000000039,58.5864166511352,170.42272590353,-229.592457037334
74.2500000000039,57.1358819027756,171.466083978705,-229.18191800861
74.2600000000039,55.6836576494912,172.502665011065,-228.76317555534
74.2700000000039,54.2299718484074,173.532828996165,-228.336714161093
74.2800000000039,52.7747552763025,174.556982844987,-227.902581675793
74.2900000000039,51.316629773146,175.574910952425,-227.457918306098
74.3000000000039,49.8566415652213,176.585233224241,-227.002914850415
74.3100000000039,48.3944269940362,177.588770982129,-226.53752325731
74.3200000000039,46.9299481172636,178.585598059242,-226.061973853753
74.3300000000039,45.4632521495746,179.575776438667,-225.576695296308
74.3400000000039,43.9943798495879,180.559492382387,-225.082193520247
74.3500000000039,42.5233061256303,181.536893981088,-224.578970211328
74.3600000000039,41.0511365749266,182.505580227396,-224.069271219218
74.3700000000039,39.5865855235045,183.449034894131,-223.566917465262
74.3800000000039,38.1123022661078,184.405066179885,-223.042840589452
74.3900000000039,36.6364726798019,185.353779859249,-222.508526875106
74.4000000000039,35.1591382556027,186.294844695439,-221.963874867329
74.4100000000038,33.6803290717891,187.227965040845,-221.409098427391
74.4200000000038,32.2001185024068,188.152934478789,-220.844693435418
74.4300000000038,30.7187034366663,189.069688952495,-220.271381530715
74.4400000000038,29.2366129672983,189.978387444484,-219.690027637237
74.4500000000038,27.7544939734253,190.879883269782,-219.102233457227
74.4600000000038,26.2707390725203,191.77328639991,-218.50653962468
74.4700000000038,24.7861435553276,192.658592358119,-217.901625162459
74.4800000000038,23.3008545917901,193.536116278675,-217.287559181709
74.4900000000038,21.814865330555,194.40613863167,-216.664523682436
74.5000000000038,20.3281664417021,195.268846903768,-216.032609031805
74.5100000000038,18.8406520715667,196.124348455373,-215.391930381562
74.5200000000038,17.3523418422417,196.97283956617,-214.742668003312
74.5300000000038,15.8641307307139,197.81561771984,-214.086256976528
74.5400000000038,14.3743874568614,198.648735387458,-213.421055975543
74.5500000000038,12.8842078699176,199.473299001027,-212.747002312746
74.5600000000038,11.3936401028747,200.289332329334,-212.064157418027
74.5700000000038,9.90279014369544,201.097030542269,-211.372655779621
74.5800000000038,8.41182246866246,201.896740603344,-210.672742819112
74.5900000000038,6.92094579424762,202.688904163861,-209.964701187285
74.6000000000038,5.43018022963748,203.474004174714,-209.248715500404
74.6100000000038,3.93996611759984,204.252193140397,-208.524305884208
74.6200000000038,2.44989259299833,205.021702227248,-207.792158502698
74.6300000000038,0.959830322522226,205.783568019538,-207.052374638353
74.6400000000038,-0.530570469187142,206.537847353355,-206.304968757776
74.6500000000038,-2.02168821704651,207.284535919322,-205.549880767136
74.6600000000038,-3.51383408008221,208.023618724007,-204.787101432832
74.6700000000037,-5.00722393914077,208.755112490619,-204.01664642001
74.6800000000037,-6.50127931963729,209.477633929811,-203.237279124685
74.6900000000037,-7.98359500271406,210.169511624403,-202.428372331209
74.7000000000037,-9.47465202242315,210.876571846413,-201.632474837643
74.7100000000037,-10.9653049537639,211.574996053829,-200.829071493355
74.7200000000037,-12.4554978914781,212.264445428983,-200.017960919072
74.7300000000037,-13.9451789004152,212.944683738669,-199.19888146763
74.7400000000037,-15.4343739845908,213.61561367278,-198.371626810692
74.7500000000037,-16.9230193117209,214.277325769463,-197.536070738241
74.7600000000037,-18.4110259690951,214.930091981841,-196.692293432349
74.7700000000037,-19.8981456593694,215.575824028669,-195.84176373395
74.7800000000037,-21.3842836238765,216.21192847347,-194.981282188122
74.7900000000037,-22.8692660932506,216.838873631722,-194.113056884365
74.8000000000037,-24.3530431311367,217.457009506891,-193.237332096835
74.8100000000037,-25.8356759474498,218.066650380114,-192.354310272758
74.8200000000037,-27.3173008119465,218.668027937019,-191.464045266662
74.8300000000037,-28.7980826011502,219.261271670246,-190.566439377948
74.8400000000037,-30.2781598528479,219.846477210117,-189.661588089957
74.8500000000037,-31.7562435454888,220.425534275265,-188.748892412585
74.8600000000037,-33.2344278496932,220.993603866604,-187.829593501046
74.8700000000037,-34.7110321976707,221.552210436757,-186.902444075618
74.8800000000037,-36.1858909246115,222.101479339631,-185.967402147807
74.8900000000037,-37.658868476087,222.641620783923,-185.024482364632
74.9000000000037,-39.1298651807592,223.17299724289,-184.073739329929
74.9100000000037,-40.5988622506015,223.69609860626,-183.115280477653
74.9200000000037,-42.0660061022482,224.211340013383,-182.149296719586
74.9300000000036,-43.5333360112533,224.718158556181,-181.177283061279
74.9400000000036,-44.9981126631915,225.214969645605,-180.199320365668
74.9500000000036,-46.4617910909348,225.702876175125,-179.215669253105
74.9600000000036,-47.925358335793,226.182129154041,-178.226255029651
74.9700000000036,-49.3897638923602,226.652933588926,-177.230796545991
74.9800000000036,-50.8543945833884,227.115322655956,-176.228791536581
74.9900000000036,-52.3184776719643,227.569368884756,-175.219886353467
75.0000000000036,-53.7817952900144,228.015268883607,-174.203769050058
75.0100000000036,-55.2160065776741,228.434888484057,-173.143037847534
75.0200000000036,-56.6715997314893,228.862568110999,-172.109394891551
75.0300000000036,-58.1248894946429,229.281014645541,-171.069861883899
75.0400000000036,-59.575553083191,229.689934379855,-170.024195618107
75.0500000000036,-61.023593099907,230.089139296377,-168.972012571006
75.0600000000036,-62.4688370474358,230.478549837929,-167.912845519796
75.0700000000036,-63.911196862565,230.858247731032,-166.846212439664
75.0800000000036,-65.3505155317591,231.228490418299,-165.77148647724
75.0900000000036,-66.7871823200217,231.592552785299,-164.689598731177
75.1000000000036,-68.2204663485841,231.94535059522,-163.59844368688
75.1100000000036,-69.6508019682351,232.288403832095,-162.500496645879
75.1200000000036,-71.0783851711028,232.621827040892,-161.396122176971
75.1300000000036,-72.5032603789311,232.945992268042,-160.285545009919
75.1400000000036,-73.9254435506431,233.261054246814,-159.169125181152
75.1500000000036,-75.3451037864783,233.567177335403,-158.047351812896
75.1600000000036,-76.7623725854705,233.864502604782,-156.919606305594
75.1700000000036,-78.1766458487765,234.155826338417,-155.785197306418
75.1800000000036,-79.5881957255051,234.435332327106,-154.644701719819
75.1900000000035,-80.9963100335598,234.704766348433,-153.497806924324
75.2000000000035,-82.4008681348354,234.964258592177,-152.344433269469
75.2100000000035,-83.8018309191668,235.2140113413,-151.184764400236
75.2200000000035,-85.1992248518563,235.454329292278,-150.018789129286
75.2300000000035,-86.5930847035012,235.685823480487,-148.846637594091
75.2400000000035,-87.9835784012406,235.908923602805,-147.668415704172
75.2500000000035,-89.3715793914562,236.124126118253,-146.484954632309
75.2600000000035,-90.7558093123206,236.327923166327,-145.296467214878
75.2700000000035,-92.1370369471153,236.522229503008,-144.103064613643
75.2800000000035,-93.5153628443264,236.70728107987,-142.904666464011
75.2900000000035,-94.8911114066697,236.883192404761,-141.700950796148
75.3000000000035,-96.2643427969145,237.050066656074,-140.491634504913
75.3100000000035,-97.6350097243894,237.208139729864,-139.276474149591
75.3200000000035,-99.0031501491462,237.357657915789,-138.055242299823
75.3300000000035,-100.342649172913,237.483293095346,-136.80936650986
75.3400000000035,-101.698310688814,237.614494006413,-135.57509834124
75.3500000000035,-103.051110219288,237.736963205233,-134.336733423046
75.3600000000035,-104.399675605543,237.84959469474,-133.09328871654
75.3700000000035,-105.743770456246,237.952087081292,-131.844631630668
75.3800000000035,-107.083235820127,238.044301570451,-130.590600726205
75.3900000000035,-108.41793761972,238.126307941568,-129.330954853402
75.4000000000035,-109.747816830835,238.198397855083,-128.065562570362
75.4100000000035,-111.074460766891,238.263336444,-126.795188103018
75.4200000000035,-112.395124445219,238.317325822094,-125.518490601623
75.4300000000035,-113.710744422441,238.361214639631,-124.236913756182
75.4400000000034,-115.021673368942,238.39543263988,-122.950770544417
75.4500000000034,-116.328200772758,238.420278032011,-121.660198822654
75.4600000000034,-117.630446492301,238.435999467745,-120.36523887064
75.4700000000034,-118.928545889085,238.442771205164,-119.065850291045
75.4800000000034,-120.222578244139,238.440610152973,-117.761962368634
75.4900000000034,-121.513345094509,238.430649363626,-116.453307598902
75.5000000000034,-122.798960560988,238.41091668464,-115.139828820998
75.5100000000034,-124.079098494068,238.380947351893,-113.821741185344
75.5200000000034,-125.353607684131,238.34067837752,-112.499174507164
75.5300000000034,-126.622351791922,238.290149216901,-111.172308925517
75.5400000000034,-127.885356826313,238.229544292544,-109.841354889095
75.5500000000034,-129.142886652328,238.159144111931,-108.506477667569
75.5600000000034,-130.39624229364,238.079266418457,-107.167676636477
75.5700000000034,-131.646568082672,237.99164171499,-105.825945067989
75.5800000000034,-132.892117176836,237.895588204535,-104.479135820235
75.5900000000034,-134.13394642724,237.791529379182,-103.128039542555
75.6000000000034,-135.372346604007,237.679446452937,-101.772755230384
75.6100000000034,-136.607243950754,237.559057843947,-100.413336981503
75.6200000000034,-137.838474317881,237.430003501367,-99.0498206727919
75.6300000000034,-139.065831970669,237.291938485151,-97.6822656578502
75.6400000000034,-140.289058262449,237.144582618323,-96.3106719073903
75.6500000000034,-141.460467486809,236.948997283384,-94.9374552604964
75.6600000000034,-142.660867698707,236.77616381611,-93.5607877899869
75.6700000000034,-143.860886755293,236.598573990271,-92.1804802269888
75.6800000000034,-145.055858372367,236.411923965722,-90.7965601288696
75.6900000000034,-146.245220851604,236.215699843356,-89.409010388708
75.7000000000033,-147.42841392858,236.009414961021,-88.0178442325519
75.7100000000033,-148.604875144914,235.79262071492,-86.6231457864908
75.7200000000033,-149.774198616742,235.565133880723,-85.2249336385113
75.7300000000033,-150.939125129512,235.326816110435,-83.8240856849581
75.7400000000033,-152.094661867691,235.078295700294,-82.4197931298454
75.7500000000033,-153.243370092665,234.820189430524,-81.0123834604992
75.7600000000033,-154.386054247024,234.552961158345,-79.6020197566194
75.7700000000033,-155.523036277727,234.276915222509,-78.188749083985
75.7800000000033,-156.65450227858,233.992176724143,-76.7726100100285
75.7900000000033,-157.780414934983,233.698746721338,-75.3536062072402
