"Time [ms]","Current(PhaseA) [A]","Current(PhaseB) [A]","Current(PhaseC) [A]"
36.6800000000006,-19.8261679731482,23.9795460636398,-4.03823653003862
36.6900000000006,-19.915918077236,23.9258865544469,-3.86477493004486
36.7000000000006,-20.0039719834655,23.871190223991,-3.69275897466945
36.7100000000006,-20.08926252429,23.8156468095759,-3.52127735005916
36.7200000000006,-20.1732907429323,23.759851254638,-3.35111271281554
36.7300000000006,-20.2566542696027,23.7041363429173,-3.18145879726227
36.7400000000006,-20.3397795965393,23.6486970133043,-3.01190499320923
36.7500000000006,-20.4228243913283,23.5935514042469,-2.84236323350331
36.7600000000006,-20.5056113001652,23.538557792051,-2.6728744657674
36.7700000000006,-20.5876394369268,23.4833724233981,-2.50354732568476
36.7800000000006,-20.668215725082,23.4271713715092,-2.33448362797293
36.7900000000006,-20.7468142979636,23.3699257514238,-2.16538113299293
36.8000000000006,-20.8240184557369,23.3123090636052,-1.99618759561787
36.8100000000006,-20.8998000906006,23.2546147269172,-1.8269895764266
36.8200000000006,-20.9740984937933,23.1970449815494,-1.65799297109703
36.8300000000006,-21.0468093983348,23.1397820019252,-1.48944478511879
36.8400000000006,-21.1177742449282,23.0828462991185,-1.32180331240234
36.8500000000006,-21.1867510763246,23.0261434865124,-1.15564244346765
36.8600000000006,-21.2555452099364,22.9690510013255,-0.990580329576241
36.8700000000006,-21.3384778555749,22.9070979119314,-0.81893815745904
36.8800000000006,-21.416355688189,22.8441348707663,-0.649337056251582
36.8900000000006,-21.4900133303383,22.7804604792165,-0.481369938786707
36.9000000000006,-21.5604046884418,22.7163584038015,-0.314657619408481
36.9100000000006,-21.628605984385,22.6520844343335,-0.148838511466981
36.9200000000006,-21.6956465747067,22.5878229652883,0.0164039760909045
36.9300000000006,-21.7623746012013,22.5235617604904,0.181298822724553
36.9400000000006,-21.8292374261806,22.4591210881421,0.345967584913652
36.9500000000006,-21.8953177237836,22.394041931053,0.510145243629754
36.9600000000006,-21.9613368557044,22.3283717448711,0.674238151422331
36.9700000000006,-22.0274092649488,22.2621434324519,0.838594551093193
36.9800000000007,-22.0933932183291,22.1953734570917,1.00332830782202
36.9900000000007,-22.1590159734229,22.12803177927,1.16843375702003
37.0000000000007,-22.2239607023772,22.0601297525255,1.33376870095107
37.0100000000007,-22.2879532109312,21.9916945831242,1.49905901455373
37.0200000000007,-22.3506664692454,21.9226873051971,1.66400882428634
37.0300000000007,-22.4108156952341,21.8522692478714,1.8285793717412
37.0400000000007,-22.4695467988745,21.7812272128011,1.99278913740054
37.0500000000007,-22.5272996987116,21.709691350991,2.15696980011692
37.0600000000007,-22.5844261081661,21.6377081695111,2.32135038524519
37.0700000000007,-22.6410779089899,21.5652771114956,2.48601497722443
37.0800000000007,-22.697141841105,21.4923133147543,2.65091202488644
37.0900000000007,-22.7522567554314,21.418675509659,2.81583026821225
37.1000000000007,-22.8059641343547,21.3442022683455,2.98041767961814
37.1100000000007,-22.8587198105589,21.2683752301805,3.14444852764486
37.1200000000007,-22.910542788056,21.1911659992245,3.30839001823986
37.1300000000007,-22.9612360639203,21.1123412288988,3.47210083221704
37.1400000000007,-23.0105816359836,21.0317956146478,3.63531737424986
37.1500000000007,-23.0583460637873,20.9495622283373,3.79766367557496
37.1600000000007,-23.1042372269241,20.8658325366949,3.95868157500505
37.1700000000007,-23.1478820978871,20.7809185802974,4.11787058791255
37.1800000000007,-23.1899129347623,20.6954946511339,4.27545662343738
37.1900000000007,-23.2475237885407,20.6144772088824,4.44316347915914
37.2000000000007,-23.3007545625997,20.5312622516543,4.60798308700598
37.2100000000007,-23.3500258358467,20.4458990284383,4.77058470427872
37.2200000000007,-23.3958873696464,20.3585328005261,4.93163732050907
37.2300000000007,-23.4389922894163,20.2693842033592,5.0917562471067
37.2400000000007,-23.4800425227722,20.1787171343304,5.25142594837854
37.2500000000007,-23.5196763085306,20.0868050843413,5.41095374172994
37.2600000000007,-23.5582541298698,19.9938780425431,5.57039490800107
37.2700000000007,-23.594199807317,19.8997174414621,5.72832541729466
37.2800000000007,-23.6301865025996,19.8048847600835,5.88477070807272
37.2900000000007,-23.6663191043259,19.7091788231089,6.04039478956379
