"Time [ms]","Current(PhaseA) [A] - a='15mm'","Current(PhaseA) [A] - a='20mm'","Current(PhaseA) [A] - a='25mm'","Current(PhaseA) [A] - a='30mm'","Current(PhaseA) [A] - a='35mm'","Current(PhaseA) [A] - a='40mm'","Current(PhaseA) [A] - a='45mm'","Current(PhaseA) [A] - a='50mm'","Current(PhaseA) [A] - a='55mm'","Current(PhaseA) [A] - a='60mm'","Current(PhaseA) [A] - a='65mm'","Current(PhaseA) [A] - a='70mm'","Current(PhaseA) [A] - a='75mm'","Current(PhaseB) [A] - a='15mm'","Current(PhaseB) [A] - a='20mm'","Current(PhaseB) [A] - a='25mm'","Current(PhaseB) [A] - a='30mm'","Current(PhaseB) [A] - a='35mm'","Current(PhaseB) [A] - a='40mm'","Current(PhaseB) [A] - a='45mm'","Current(PhaseB) [A] - a='50mm'","Current(PhaseB) [A] - a='55mm'","Current(PhaseB) [A] - a='60mm'","Current(PhaseB) [A] - a='65mm'","Current(PhaseB) [A] - a='70mm'","Current(PhaseB) [A] - a='75mm'","Current(PhaseC) [A] - a='15mm'","Current(PhaseC) [A] - a='20mm'","Current(PhaseC) [A] - a='25mm'","Current(PhaseC) [A] - a='30mm'","Current(PhaseC) [A] - a='35mm'","Current(PhaseC) [A] - a='40mm'","Current(PhaseC) [A] - a='45mm'","Current(PhaseC) [A] - a='50mm'","Current(PhaseC) [A] - a='55mm'","Current(PhaseC) [A] - a='60mm'","Current(PhaseC) [A] - a='65mm'","Current(PhaseC) [A] - a='70mm'","Current(PhaseC) [A] - a='75mm'"
0.1,2.01845780875939,2.01094502339931,1.99838254512578,1.98440122760094,1.96787555071254,1.94373622468575,1.91870532768156,1.89912416520244,1.86315063079598,1.82204746678999,1.77552141994403,1.7246328935543,1.71038715102636,-0.978047805120206,-1.00366507904578,-1.02632726018395,-1.05364839288631,-1.08578762014753,-1.11430421590738,-1.15411812456893,-1.18329833986578,-1.24463811299845,-1.33102982118246,-1.43366939657189,-1.62044519590807,-1.95206701404384,-1.04041000363919,-1.00727994435353,-0.972055284941832,-0.930752834714639,-0.882087930565009,-0.829432008778369,-0.76458720311263,-0.715825825336667,-0.618512517797532,-0.491017645607527,-0.341852023372148,-0.104187697646223,0.241679863017477
0.11,2.21617668152949,2.20841537380704,2.19389625374109,2.17757441334625,2.15997652724309,2.13407054713429,2.10705628871959,2.08511608291145,2.04530072140248,1.99915151969357,1.94849782814887,1.89544954123602,1.87791036353016,-1.06881726854645,-1.09787546662391,-1.12156269676062,-1.1497864026928,-1.18600923628799,-1.21813928499119,-1.26280263335529,-1.29559292260568,-1.36226214652606,-1.45620132729781,-1.56995113614647,-1.77624471453842,-2.14039536403141,-1.14735941298304,-1.11053990718314,-1.07233355698047,-1.02778801065345,-0.973967290955106,-0.915931262143095,-0.844253655364302,-0.789523160305777,-0.683038574876422,-0.542950192395762,-0.3785466920024,-0.119204826697606,0.262485000501242
0.12,2.4179636126705,2.4100461264898,2.39341143458577,2.3754997183,2.35636658501103,2.32837757229854,2.29928049256829,2.27530759137246,2.22870559965706,2.17916918336538,2.12632086162534,2.07141216955542,2.05215005819999,-1.15979901943995,-1.19303956050943,-1.21776477264473,-1.24758822198728,-1.28732929975704,-1.32337959620067,-1.3727080309407,-1.40869232840754,-1.47680583892433,-1.58139130490594,-1.70604264882452,-1.93271828245845,-2.33031842861324,-1.25816459323055,-1.21700656598036,-1.17564666194105,-1.12791149631272,-1.06903728525398,-1.00499797609787,-0.926572461627592,-0.866615262964919,-0.751899760732726,-0.597777878459439,-0.420278212800826,-0.138693887096969,0.27816837041325
0.13,2.61883296738159,2.61058884004176,2.59283868808605,2.57174742913568,2.55189128247376,2.52204685319141,2.49073850059197,2.46469394638439,2.41469828547446,2.35906840079563,2.3050192101547,2.24739385823735,2.22517535765497,-1.24950658076387,-1.28662177621894,-1.31406695396392,-1.34354254091006,-1.38722973031978,-1.4275316507153,-1.48118692686561,-1.52027216863465,-1.59558359716374,-1.70551381997927,-1.84311435764777,-2.08805675063899,-2.52179310383364,-1.36932638661771,-1.32396706382282,-1.27877173412213,-1.22820488822562,-1.16466155215398,-1.09451520247611,-1.00955157372636,-0.944421777749749,-0.819114688310725,-0.653554580816367,-0.461904852506933,-0.159337107598367,0.296617746178671
0.14,2.81971312371975,2.80957042486784,2.7900645358731,2.76670207061231,2.7459703531524,2.71431404901775,2.680870559617,2.65201868334864,2.59856594821324,2.53777182796374,2.48198043952175,2.42256420762119,2.39838192223015,-1.34081883187571,-1.37883478664056,-1.40758766849153,-1.43836846844901,-1.48583817145333,-1.53024426006841,-1.58828769356889,-1.63011140193307,-1.71161657698121,-1.82831588159202,-1.97859409877727,-2.24228854700139,-2.710969352339,-1.47889429184404,-1.43073563822728,-1.38247686738157,-1.32833360216329,-1.26013218169906,-1.18406978894933,-1.09258286604811,-1.02190728141558,-0.886949371232036,-0.709455946371713,-0.503386340744478,-0.180275660619801,0.312587430108849
0.15,3.02038751232892,3.00672992965947,2.98555692275909,2.95993416959704,2.93826657292297,2.90495729178907,2.86939039860924,2.83774553686806,2.78063654931112,2.71493406326168,2.65766121181947,2.59661918378551,2.57076394959533,-1.43639104322558,-1.46975423786216,-1.49988905514586,-1.5321037937194,-1.58318791204239,-1.63164561196538,-1.69403999997381,-1.73882836940601,-1.82638301975474,-1.95003571930931,-2.11286886478041,-2.39556878478742,-2.8989990263766,-1.58399646910333,-1.53697569179731,-1.48566786761322,-1.42783037587763,-1.35507866088058,-1.27331167982369,-1.17535039863543,-1.09891716746205,-0.954253529556375,-0.764898343952367,-0.544792347039064,-0.201050398998087,0.328235076781266
0.16,3.21766635259872,3.20262819402299,3.1794494755799,3.15168662559613,3.12845659242715,3.09406846606457,3.05643786032765,3.02016638002258,2.96003158254519,2.89082106243825,2.83230551712895,2.76994423287205,2.74257350308961,-1.52647154473136,-1.55999658099338,-1.59080847963763,-1.62477449339398,-1.67893895256963,-1.73163278344274,-1.79843370276952,-1.84566061272051,-1.93949698400052,-2.07082446671243,-2.24627686155564,-2.54810061780287,-3.08600532171872,-1.69119480786736,-1.6426316130296,-1.58864099594227,-1.52691213220214,-1.44951763985751,-1.36243568262184,-1.25800415755813,-1.17450576730207,-1.02053459854467,-0.819996595725819,-0.586028655573319,-0.221843615069176,0.343431818629116
0.17,3.41543314272588,3.39742605252221,3.37371905145169,3.34414589831956,3.31944994196852,3.28352282751973,3.24399639398761,3.20397755509581,3.14045661820638,3.06782005877294,3.00820926155037,2.9448023222248,2.91617694044212,-1.61590177235075,-1.64889857820923,-1.68132184082615,-1.71743266137222,-1.7747037921551,-1.83122040783454,-1.90262079084226,-1.95254577883846,-2.05254187447739,-2.19187397452806,-2.379743231025,-2.70086850717248,-3.27325544486631,-1.79953137037514,-1.74852747431299,-1.69239721062554,-1.62671323694734,-1.54474614981342,-1.45230241968519,-1.34137560314535,-1.25143177625735,-1.08791474372899,-0.875946084244889,-0.628466030525373,-0.243933815052329,0.357078504424194
0.18,3.61223137941668,3.59195371496529,3.5668795028316,3.5356924839812,3.5095639599615,3.47194198272141,3.43070722979119,3.38703823187776,3.32013319803458,3.24445116257345,3.18367254832969,3.11976773947209,3.09035978055366,-1.70345707076654,-1.73594968309493,-1.77000606689492,-1.80844623237901,-1.86888662917747,-1.92896463956111,-2.0051252522614,-2.05773280379357,-2.16392184345281,-2.31157751984892,-2.5120662607609,-2.85228019140796,-3.45936437004948,-1.90877430865014,-1.85600403187036,-1.79687343593668,-1.72724625160219,-1.64067733078403,-1.5429773431603,-1.42558197752979,-1.32930542808419,-1.15621135458177,-0.93287364272453,-0.671606287568781,-0.267487548064137,0.369004589495822
0.19,3.80620905447308,3.78393617494801,3.75745107116433,3.72431640448014,3.69690865484483,3.65755773491625,3.61295905672374,3.56576461692738,3.49719878270356,3.41886093209496,3.35729363648527,3.2917567268612,3.26355671532251,-1.78742379893764,-1.82000678226913,-1.85566966144808,-1.8957602009276,-1.95952599177674,-2.02299503579417,-2.10335310487996,-2.15730983506413,-2.27156819164775,-2.4279820693031,-2.64088929592265,-2.99666227008944,-3.64269478128398,-2.01878525553544,-1.96392939267887,-1.90178140971625,-1.82855620355254,-1.73738266306808,-1.63456269912209,-1.50960595184378,-1.40845478186326,-1.22563059105582,-0.990878862791856,-0.716404340562623,-0.295094456771765,0.379138065961475
