Time [ms],Moving1.Torque [NewtonMeter] - a='15mm',Moving1.Torque [NewtonMeter] - a='20mm',Moving1.Torque [NewtonMeter] - a='25mm',Moving1.Torque [NewtonMeter] - a='30mm',Moving1.Torque [NewtonMeter] - a='35mm',Moving1.Torque [NewtonMeter] - a='40mm',Moving1.Torque [NewtonMeter] - a='45mm',Moving1.Torque [NewtonMeter] - a='50mm',Moving1.Torque [NewtonMeter] - a='55mm',Moving1.Torque [NewtonMeter] - a='60mm',Moving1.Torque [NewtonMeter] - a='65mm',Moving1.Torque [NewtonMeter] - a='70mm',Moving1.Torque [NewtonMeter] - a='75mm'
0.44,8.348607662,8.976081086,9.907472825,10.51338475,11.03594196,12.22094713,13.19682418,14.38916769,16.16286809,18.343859,20.09652192,24.42780081,30.41614301
0.45,8.511941641,9.158661553,10.02705032,10.68543675,11.28549617,12.41191292,13.41691258,14.91723128,16.7608502,19.01753451,20.61439467,25.0492526,31.22800924
0.46,8.655121117,9.309817008,10.1284943,10.8370165,11.50747508,12.59125528,13.61937884,15.42593595,17.31877507,19.6938223,21.14290761,25.66111559,32.03351269
0.47,8.807240878,9.459127093,10.26514478,11.00862916,11.72443636,12.79356734,13.83326172,15.92875512,17.87837816,20.35739947,21.67003539,26.27686599,32.82947586
0.48,8.993101413,9.637128337,10.46744396,11.23089573,11.96141989,13.03775397,14.08008054,16.45096077,18.44666167,20.99800283,22.20000252,26.89480878,33.61471693
0.49,9.210205068,9.844233782,10.71587435,11.4880469,12.21183132,13.31488571,14.36201792,16.97888254,19.01869121,21.6171394,22.72397867,27.5215127,34.3887028
0.5,9.440541692,10.06486668,10.96795915,11.7460487,12.46240042,13.59007172,14.657912,17.49875133,19.58117239,22.22566686,23.24982585,28.15879855,35.16588511
0.51,9.684707001,10.30198846,11.21836662,11.9990808,12.71373821,13.86016168,14.97028804,18.01105067,20.12778998,22.83832586,23.79251541,28.80681486,35.94840746
0.52,9.951712969,10.56342436,11.47568983,12.25672255,12.97553176,14.1361416,15.28759262,18.51845413,20.67017944,23.44917273,24.34979306,29.45906037,36.72908567
0.53,10.24525788,10.84813729,11.74676805,12.52814574,13.25360693,14.42534119,15.61385732,19.01974901,21.2113226,24.05671297,24.910975,30.10732534,37.49520329
0.54,10.5674946,11.15689613,12.037325,12.81765686,13.55386863,14.75218985,15.95509567,19.51008426,21.75105242,24.64323622,25.47519654,30.7572597,38.2551234
0.55,10.90357514,11.47928114,12.34521059,13.12387344,13.87058202,15.09275993,16.31168581,19.99651273,22.28630795,25.22000937,26.04679826,31.4077986,39.01690517
0.56,11.2183976,11.79241844,12.6724725,13.45999836,14.20460101,15.46041582,16.69815028,20.48105285,22.81801982,25.82951734,26.63827111,32.06532987,39.80227345
0.57,11.55653325,12.13152649,13.01841555,13.8085192,14.55442185,15.84158644,17.09613507,20.97124868,23.34498914,26.42465011,27.23580272,32.72816774,40.58361011
0.58,11.91688723,12.49526861,13.38490764,14.17618287,14.93027171,16.23472044,17.50295665,21.46060132,23.87452558,26.9986764,27.84152245,33.40034316,41.36465425
0.59,12.29090602,12.87363834,13.7631369,14.55084951,15.3255078,16.63573813,17.9159194,21.95503618,24.40834437,27.54941347,28.45593425,34.08161999,42.14651722
0.6,12.66277958,13.24940458,14.13671273,14.92312757,15.72660334,17.04052763,18.33030515,22.44578193,24.93763957,28.08245884,29.07184406,34.76312427,42.92442676
0.61,13.0396978,13.63757387,14.53850319,15.30395282,16.14385458,17.4612025,18.77785014,22.93666361,25.46303658,28.63136846,29.68032485,35.43558808,43.70382466
0.62,13.41172583,14.04148257,14.93005288,15.69811137,16.5726324,17.89273172,19.24046601,23.41827099,25.97784429,29.18993067,30.29532007,36.09300011,44.48524192
0.63,13.79367438,14.43222715,15.32364382,16.11266463,17.00148553,18.33528441,19.71660542,23.88016497,26.47196004,29.74910773,30.91168439,36.73684738,45.26402086
0.64,14.16126105,14.81443466,15.71993602,16.55002803,17.42873027,18.79001348,20.21089824,24.32569667,26.94692265,30.30446105,31.53519184,37.37452478,46.03851689
0.65,14.5229787,15.19098824,16.1203987,17.00189759,17.85083691,19.29227298,20.72960806,24.76565985,27.40455338,30.85293057,32.17268876,38.0182243,46.80781145
0.66,14.91067465,15.59410717,16.5497491,17.4669293,18.29723901,19.81022963,21.26434183,25.21927956,27.87722552,31.3860349,32.82498275,38.69020381,47.60647686
0.67,15.40470391,16.1076514,17.07503644,17.96517207,18.85175711,20.30635719,21.77539713,25.72282297,28.42780462,31.88219638,33.47837308,39.42540334,48.44579415
0.68,15.92278367,16.63469814,17.60299499,18.47443329,19.40562003,20.84073526,22.32341443,26.22448485,28.95783255,32.36991706,34.14235037,40.15725522,49.27054109
0.69,16.47052161,17.17601998,18.0590321,18.95317161,19.9981091,21.41112647,22.90966183,26.71925073,29.46843243,32.85923412,34.81126035,40.8821248,50.08614904
0.7,17.04089329,17.73750698,18.55877746,19.4751255,20.58946921,21.97712526,23.5266592,27.20455889,29.96414337,33.35905728,35.48302086,41.59521594,50.89951889
0.71,17.61967608,18.30722277,19.07075459,20.0466086,21.1909583,22.56524163,24.16251193,27.68413803,30.45179367,33.8725987,36.16116561,42.29865155,51.71690145
0.72,18.22032815,18.89743558,19.60542083,20.64168748,21.81283296,23.18051969,24.8238698,28.16572154,30.93614043,34.38853254,36.84364537,43.00059113,52.55644265
0.73,18.82143988,19.49157201,20.15331543,21.25314986,22.4433225,23.80668085,25.49612999,28.65189141,31.42142549,34.90143406,37.53188844,43.69437145,53.38855245
0.74,19.41341384,20.08230814,20.76096267,21.86889728,23.07915156,24.43600529,26.16942931,29.14620585,31.91447597,35.41275397,38.22438282,44.38191723,54.22698419
0.75,19.92084976,20.71092637,21.35392466,22.48595841,23.7234197,25.06868778,26.84268593,29.64722779,32.41588427,35.92350786,38.91479371,45.08300139,55.06728903
0.76,20.46433254,21.26241569,21.95511588,23.10829845,24.37950647,25.7059739,27.51775486,30.15524908,32.92491752,36.43578953,39.60143999,45.80155718,55.90190254
0.77,21.06094375,21.84006027,22.52949263,23.73247,25.03959357,26.35380295,28.20430977,30.66642764,33.43295305,36.95033693,40.29557734,46.51987129,56.73562132
0.78,21.58339643,22.37908222,23.08081819,24.32398958,25.68551891,27.00864357,28.9074998,31.16254896,33.9165843,37.45872637,41.00306113,47.22359242,57.59347012
0.79,22.09734657,22.91431257,23.62799321,24.9113478,26.28963669,27.65415603,29.60096738,31.66623544,34.41065078,37.97263443,41.70565408,47.93545112,58.44115998
0.8,22.60715473,23.44726091,24.18121526,25.49989422,26.90051444,28.29589289,30.28621112,32.18072024,34.91714904,38.49940473,42.40596602,48.65872457,59.27455577
0.81,23.11333344,23.97900996,24.74765227,26.09490929,27.51852268,28.9335231,30.97022982,32.70819557,35.43802544,39.04213862,43.10981227,49.39456167,60.10527172
0.82,23.62531495,24.52005304,25.3363145,26.70229059,28.14666307,29.59263395,31.66270717,33.24187929,35.96744351,39.60566893,43.83202819,50.1362542,60.93273185
0.83,24.21732647,25.13635202,25.99037371,27.37066565,28.83556654,30.30396215,32.38510703,33.81782773,36.5329639,40.20046803,44.57701036,50.90105622,61.78600501
0.84,24.85079178,25.78770736,26.68508116,28.07474408,29.55069043,31.0428922,33.13238915,34.39407289,37.10159868,40.79096214,45.32075818,51.66172781,62.65020275
0.85,25.51353726,26.46427551,27.4028943,28.79812757,30.27257303,31.79347854,33.88417435,34.94033365,37.64680371,41.3543483,46.04715177,52.39742234,63.51206396
